Ai,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,Year,Pref
A2,0.1457194899817851,0.22540045766590394,0.41085899513776336,0.25570228091236497,0.029779733157540254,0.15220919082392861,0.11281601194439402,0.02886609115179768,0.022318499303984166,0.8689024390243902,0.2521739130434783,2018,0.24296444970336617
A3,0.05707346690953249,0.02288329519450801,0.09562398703403566,0.015006002400960387,0.18898235858926038,0.20262594969388512,0.14781187579444346,0.3671278916911735,0.09382722863047384,0.0,0.055652173913043286,2018,0.12221352162956314
A4,0.020036429872495452,0.052631578947368425,0.2941653160453809,0.21968787515006008,0.295977299760673,0.0,0.4079252668321126,0.41320522029028717,0.06873693053945827,0.7926829268292683,0.25043478260869556,2018,0.30544668819487386
A5,0.07650273224043717,0.10640732265446227,0.15316045380875204,0.31452581032412974,0.09285028446953954,0.002913623958102832,0.016685834190827854,0.42018458035750583,0.007720563435558747,0.3597560975609757,0.14086956521739122,2018,0.1740472747996981
A6,0.12993321190042503,0.13386727688787187,0.3760129659643436,0.13805522208883556,0.11100760973931986,0.14656634948734973,0.060609729031737385,0.19626231552128365,0.09297790532958038,0.9451219512195121,0.44869565217391305,2018,0.27301348344316956
A7,0.08075288403157256,0.1498855835240275,0.46110210696920584,0.7863145258103242,0.39791341234468824,0.15999114848417795,0.551732138893933,0.5259320494924719,0.11470923708078078,0.9359756097560975,0.582608695652174,2018,0.48375083703669297
A8,0.1766848816029144,0.1178489702517163,0.41572123176661263,0.07202881152460984,0.32353573424669313,0.02703400457328318,0.12081593123902916,0.6438900107062028,0.14763201304953058,0.9573170731707317,0.08347826086956518,2018,0.3246225693537845
A9,0.2586520947176685,0.397025171624714,0.6750405186385737,0.22028811524609848,0.4842144484730363,0.44936195323449135,0.29090248774287275,0.6605998184011167,0.08082062414531095,0.9756097560975608,0.49565217391304356,2018,0.4872967109675338
A10,0.11475409836065575,0.11212814645308926,0.3192868719611021,0.3931572629051622,0.12883532294816494,0.2353396769196725,0.13546395496640642,0.20404125276125165,0.07770081743535026,0.875,0.382608695652174,2018,0.29403086717003224
A11,0.11232544019429266,0.1590389016018307,0.3841166936790924,0.436374549819928,0.1327906676793878,0.19764697204396256,0.3015152432257935,0.1092303730908401,0.05219965536484108,0.9451219512195121,0.21043478260869558,2018,0.3070985144672461
A12,0.026715239829993926,0.03089244851258582,0.13452188006482982,0.30672268907563033,0.15200848392782926,0.05628088810208751,0.1845933458426649,0.3247503015354592,0.04115691937867555,0.33536585365853666,0.3599999999999998,2018,0.19910989074359967
A13,0.05039465695203401,0.07894736842105264,0.3209076175040519,0.15366146458583435,0.07387609452700672,0.1904551154385189,0.006083166878518265,0.1632221604846251,0.060409269581961224,0.8414634146341463,0.4243478260869564,2018,0.2325835197554818
A14,1.0,1.0,1.0,0.0,1.0,0.21446485210592317,0.9159453624679702,1.0,0.12016851555457439,0.9969512195121951,1.0,2018,0.7886562120762417
A15,0.08075288403157256,0.15331807780320367,0.33225283630470015,1.0,0.0508462431390533,0.16980157852032163,0.25839840203377523,0.002995026358942391,0.04594777734851691,0.8932926829268293,0.3130434782608696,2018,0.3255917533680972
A16,0.04675166970248938,0.08237986270022885,0.26661264181523503,0.4831932773109245,0.14907063729775433,0.1872464409530132,0.2645824506184049,0.17779072761522718,0.032484316647349916,0.5975609756097561,0.3199999999999999,2018,0.2614051998787182
A17,0.04614450516089862,0.10983981693363846,0.3565640194489465,0.16566626650660266,0.46754754295705014,0.07918418529173123,0.4619978613078304,0.6674843133800431,0.08158102912228415,0.798780487804878,0.3182608695652174,2018,0.38069803113865697
A18,0.036429872495446276,0.08924485125858125,0.27633711507293357,0.1554621848739496,0.2479399246191548,0.06457918418529175,0.10799386639226846,0.5401347084253751,0.036226551624752426,0.17682926829268303,0.0,2018,0.17997613877852703
A19,0.3442622950819672,0.6807780320366135,0.5040518638573744,0.5570228091236495,0.022184324796858657,0.14807848344028918,0.014244496902931631,0.029841846345661276,0.003593526746018618,0.9634146341463414,0.18434782608695643,2018,0.31814276642586803
A20,0.0012143290831815434,0.017162471395881024,0.0,0.08823529411764706,0.0074520987689706015,0.20052371468614003,0.0,0.2258466709130087,0.0,0.7957317073170731,0.7739130434782608,2018,0.21306031931201586
